epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7029,2.39721,2.47721,2.07124,0.32998,0.22727,0.29768,0.11691,1.99511,1.90735,1.75497,0.0012475,0.0009975,0.0009975
2,136.745,2.07665,2.12072,1.78513,0.49364,0.34943,0.39333,0.16818,1.63609,1.72327,1.48004,0.000967,0.000967,0.000967
3,213.662,1.88043,1.96996,1.6745,0.5696,0.24716,0.42642,0.18742,1.54976,1.71737,1.46564,0.000934,0.000934,0.000934
4,283.145,1.82967,1.88703,1.65886,0.36281,0.70739,0.45712,0.23453,1.55403,1.57973,1.43752,0.000901,0.000901,0.000901
5,354.616,1.78236,1.79527,1.61917,0.44723,0.66477,0.5696,0.31152,1.43636,1.40273,1.43586,0.000868,0.000868,0.000868
6,420.279,1.71146,1.7516,1.60348,0.57599,0.69602,0.68284,0.37925,1.40564,1.45394,1.43648,0.000835,0.000835,0.000835
7,485.22,1.66642,1.66428,1.55916,0.54136,0.56534,0.64526,0.41451,1.28222,1.31672,1.37858,0.000802,0.000802,0.000802
8,549.735,1.62921,1.63233,1.5349,0.48828,0.61932,0.60654,0.36745,1.30649,1.37479,1.36167,0.000769,0.000769,0.000769
9,613.322,1.58675,1.58113,1.50966,0.61122,0.6875,0.6999,0.40396,1.28886,1.18922,1.39249,0.000736,0.000736,0.000736
10,683.951,1.56189,1.56859,1.49272,0.59925,0.71367,0.6685,0.43245,1.21017,1.16406,1.36554,0.000703,0.000703,0.000703
11,757.533,1.53324,1.54408,1.4819,0.65944,0.6392,0.72814,0.45095,1.15557,1.17388,1.30908,0.00067,0.00067,0.00067
12,830.211,1.52414,1.53918,1.48617,0.54547,0.64489,0.64988,0.4216,1.10525,1.18119,1.25697,0.000637,0.000637,0.000637
13,901.973,1.48319,1.49036,1.46166,0.57515,0.6615,0.71222,0.46552,1.10582,1.16782,1.28479,0.000604,0.000604,0.000604
14,973.294,1.43513,1.43966,1.4239,0.62881,0.74597,0.71648,0.43372,1.13194,1.19949,1.27921,0.000571,0.000571,0.000571
15,1044.93,1.43471,1.44501,1.42788,0.61244,0.73864,0.70775,0.44158,1.05153,1.15898,1.26848,0.000538,0.000538,0.000538
16,1116.24,1.44284,1.44133,1.44557,0.76071,0.72443,0.79301,0.49032,1.08839,1.0976,1.25853,0.000505,0.000505,0.000505
17,1187.45,1.4045,1.43932,1.41527,0.69167,0.7329,0.74673,0.45484,1.10011,1.15462,1.2644,0.000472,0.000472,0.000472
18,1259.76,1.37324,1.40201,1.41011,0.63279,0.67045,0.71867,0.46841,1.01123,1.1213,1.22813,0.000439,0.000439,0.000439
19,1332.39,1.36447,1.39365,1.4029,0.70053,0.66761,0.75698,0.50012,1.07147,1.06337,1.21889,0.000406,0.000406,0.000406
20,1404.55,1.35877,1.36606,1.40241,0.76669,0.76136,0.81214,0.53881,0.98424,1.03872,1.22247,0.000373,0.000373,0.000373
21,1470.98,1.20946,1.26904,1.4239,0.78642,0.72159,0.82451,0.51134,0.96655,1.05579,1.18856,0.00034,0.00034,0.00034
22,1534.21,1.12118,1.10025,1.35031,0.94153,0.78977,0.90153,0.61216,0.94363,0.95684,1.20451,0.000307,0.000307,0.000307
23,1598.3,1.05156,1.04913,1.3081,0.97417,0.7983,0.91399,0.73579,0.79462,0.79176,1.14709,0.000274,0.000274,0.000274
24,1662.64,1.03133,1.00492,1.31346,0.9748,0.8125,0.92502,0.75681,0.77853,0.81184,1.12131,0.000241,0.000241,0.000241
25,1734.13,0.95673,0.94478,1.25401,0.97302,0.81963,0.93587,0.78334,0.70338,0.72525,1.09684,0.000208,0.000208,0.000208
26,1806.71,0.93123,0.92837,1.24861,0.96387,0.83366,0.94166,0.80016,0.67762,0.70296,1.07807,0.000175,0.000175,0.000175
27,1874.8,0.90575,0.87223,1.23946,0.97779,0.8267,0.94889,0.78306,0.67644,0.67348,1.0676,0.000142,0.000142,0.000142
28,1939.79,0.86081,0.86131,1.2005,0.94098,0.86053,0.9536,0.79935,0.65846,0.6543,1.06757,0.000109,0.000109,0.000109
29,2003.6,0.84609,0.85146,1.20433,0.95217,0.83807,0.95236,0.82032,0.60846,0.62109,1.03624,7.6e-05,7.6e-05,7.6e-05
30,2068.38,0.8223,0.81479,1.18883,0.92292,0.88447,0.95584,0.80353,0.6338,0.64617,1.04449,4.3e-05,4.3e-05,4.3e-05
